M+Anth	M+C20H14N	268.112076
M+2Anth	M+C39H25N2	521.201224
M+2Anth_2	M+C40H27N2	535.216875
M+3Anth1	M+C58H36N3	774.290375
M+3Anth2	M+C59H38N3	788.306025
M+3Anth3	M+C60H40N3	802.321675
M+DPP	M+C17H11	215.085526
M+TAHS	M+C10H13N2O	177.102239
M+CA	M+C3H8O2	77.059706
M+GIRARD_P	M+C5H12N3+	114.102574
M+GIRARD_T	M+C7H8N3+	134.071274
M+AMPP	M+	167.097309
M+BORONIC_ACID	M+	102.051764
M+K	M+K	38.963157
M+Na	M+NA	22.98922
M+NORHARMANE+H	M+C11H9N2	169.076925
M+H	M+H	1.007276
M-H	M-H	-1.007277
M+K-H2	M+K-H2	36.948605
M+Na-H2	M+Na-H2	20.974667
M+Cl	M+Cl	34.969401
